"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2015","EQ","1,259.00","1,277.85","1,255.30","1,263.00","1,265.00","1,272.35","1,267.88","1,442.05","1,092.15",581850,"737,718,148.30",14536
"30-Dec-2015","EQ","1,265.05","1,274.90","1,259.05","1,264.60","1,265.75","1,263.00","1,266.96","1,442.05","1,092.15",470475,"596,073,046.55",18134
"29-Dec-2015","EQ","1,250.00","1,269.90","1,250.00","1,249.40","1,265.20","1,264.60","1,262.78","1,442.05","1,092.15",431005,"544,263,704.50",15306
"28-Dec-2015","EQ","1,260.00","1,266.10","1,245.00","1,257.75","1,248.70","1,249.40","1,252.65","1,442.05","1,092.15",616143,"771,811,314.25",23014
"24-Dec-2015","EQ","1,252.25","1,271.00","1,252.25","1,251.85","1,256.00","1,257.75","1,261.08","1,442.05","1,092.15",346531,"437,002,936.95",11697
"23-Dec-2015","EQ","1,260.50","1,270.20","1,247.25","1,256.55","1,249.15","1,251.85","1,255.90","1,442.05","1,092.15",501318,"629,605,183.85",17149
"22-Dec-2015","EQ","1,276.85","1,276.85","1,253.15","1,278.85","1,253.15","1,256.55","1,261.73","1,442.05","1,092.15",611139,"771,095,168.50",24813
"21-Dec-2015","EQ","1,240.00","1,284.00","1,240.00","1,243.30","1,278.00","1,278.85","1,271.98","1,442.05","1,092.15",938228,"1,193,411,463.40",29416
"18-Dec-2015","EQ","1,245.05","1,258.45","1,235.05","1,247.55","1,248.00","1,243.30","1,245.87","1,442.05","1,092.15",1370487,"1,707,448,504.20",42221
"17-Dec-2015","EQ","1,215.00","1,254.30","1,195.50","1,218.05","1,250.00","1,247.55","1,222.00","1,442.05","1,092.15",2498416,"3,053,061,091.35",84707
"16-Dec-2015","EQ","1,255.25","1,255.25","1,208.50","1,289.05","1,221.00","1,218.05","1,226.12","1,442.05","1,092.15",3341245,"4,096,776,101.10",102916
"15-Dec-2015","EQ","1,295.00","1,304.45","1,278.15","1,284.80","1,285.30","1,289.05","1,292.51","1,442.05","1,092.15",776403,"1,003,509,213.50",38420
"14-Dec-2015","EQ","1,231.10","1,296.30","1,228.50","1,261.90","1,293.70","1,284.80","1,256.71","1,442.05","1,092.15",1380806,"1,735,272,980.15",34096
"11-Dec-2015","EQ","1,286.00","1,295.90","1,244.00","1,290.70","1,264.90","1,261.90","1,271.18","1,442.05","1,092.15",646040,"821,233,530.95",57852
"10-Dec-2015","EQ","1,314.00","1,319.75","1,284.00","1,312.10","1,292.45","1,290.70","1,294.07","1,442.05","1,092.15",747329,"967,093,617.50",40412
"09-Dec-2015","EQ","1,313.00","1,328.80","1,306.15","1,314.25","1,312.80","1,312.10","1,321.30","1,442.05","1,092.15",1124326,"1,485,574,703.30",40906
"08-Dec-2015","EQ","1,320.00","1,332.85","1,302.10","1,323.70","1,305.50","1,314.25","1,321.89","1,442.05","1,092.15",926809,"1,225,135,767.00",47811
"07-Dec-2015","EQ","1,318.50","1,331.40","1,307.70","1,315.30","1,323.35","1,323.70","1,322.52","1,442.05","1,092.15",563422,"745,136,137.85",30211
"04-Dec-2015","EQ","1,335.60","1,343.20","1,312.25","1,345.70","1,314.10","1,315.30","1,319.76","1,442.05","1,092.15",783653,"1,034,231,044.30",30508
"03-Dec-2015","EQ","1,368.50","1,368.75","1,340.60","1,370.45","1,346.40","1,345.70","1,350.06","1,442.05","1,092.15",564834,"762,558,830.15",26296
"02-Dec-2015","EQ","1,375.00","1,376.95","1,363.50","1,368.90","1,370.00","1,370.45","1,371.28","1,442.05","1,092.15",1016020,"1,393,246,830.65",12463
"01-Dec-2015","EQ","1,370.00","1,381.50","1,356.50","1,365.50","1,372.00","1,368.90","1,368.86","1,442.05","1,092.15",1183173,"1,619,600,822.00",44137
"30-Nov-2015","EQ","1,353.00","1,369.80","1,351.70","1,351.20","1,367.50","1,365.50","1,363.47","1,442.05","1,092.15",2442043,"3,329,660,510.45",44447
"27-Nov-2015","EQ","1,356.00","1,372.00","1,349.40","1,346.25","1,359.00","1,351.20","1,363.59","1,442.05","1,092.15",1637675,"2,233,123,897.45",30496
"26-Nov-2015","EQ","1,324.95","1,353.95","1,317.00","1,319.55","1,347.75","1,346.25","1,332.49","1,442.05","1,092.15",909430,"1,211,801,838.00",36846
"24-Nov-2015","EQ","1,323.50","1,325.95","1,311.80","1,323.50","1,316.10","1,319.55","1,320.17","1,442.05","1,092.15",1241101,"1,638,460,182.35",20117
"23-Nov-2015","EQ","1,315.25","1,334.30","1,307.20","1,315.25","1,322.00","1,323.50","1,320.84","1,442.05","1,092.15",913158,"1,206,135,469.75",31874
"20-Nov-2015","EQ","1,292.10","1,325.00","1,291.30","1,292.10","1,312.45","1,315.25","1,317.05","1,442.05","1,092.15",1984836,"2,614,135,486.30",22585
"19-Nov-2015","EQ","1,285.10","1,297.95","1,275.15","1,278.30","1,295.50","1,292.10","1,288.91","1,442.05","1,092.15",460811,"593,946,067.70",18937
"18-Nov-2015","EQ","1,285.00","1,304.00","1,274.30","1,288.80","1,281.00","1,278.30","1,289.95","1,442.05","1,092.15",691702,"892,263,688.85",22617
"17-Nov-2015","EQ","1,279.00","1,298.00","1,269.50","1,277.90","1,288.00","1,288.80","1,279.36","1,442.05","1,092.15",1508800,"1,930,299,130.90",32036
"16-Nov-2015","EQ","1,250.00","1,288.65","1,238.20","1,251.40","1,282.75","1,277.90","1,267.56","1,442.05","1,092.15",2026549,"2,568,770,086.95",40512
"13-Nov-2015","EQ","1,245.40","1,259.50","1,242.70","1,264.25","1,248.25","1,251.40","1,251.46","1,442.05","1,092.15",1639510,"2,051,777,858.55",26319
"11-Nov-2015","EQ","1,265.15","1,274.85","1,260.00","1,261.15","1,263.80","1,264.25","1,266.45","1,442.05","1,092.15",44464,"56,311,599.15",1979
"10-Nov-2015","EQ","1,247.10","1,268.00","1,235.50","1,249.10","1,263.00","1,261.15","1,257.21","1,442.05","1,092.15",602837,"757,893,233.15",31912
"09-Nov-2015","EQ","1,221.00","1,265.00","1,214.55","1,249.55","1,254.00","1,249.10","1,238.41","1,442.05","1,092.15",574971,"712,051,109.85",27022
"06-Nov-2015","EQ","1,255.00","1,269.00","1,213.00","1,259.75","1,256.50","1,249.55","1,240.69","1,442.05","1,092.15",1164377,"1,444,630,843.70",37337
"05-Nov-2015","EQ","1,251.00","1,269.75","1,245.60","1,254.30","1,255.95","1,259.75","1,257.97","1,442.05","1,092.15",867254,"1,090,977,744.95",27794
"04-Nov-2015","EQ","1,232.95","1,259.50","1,232.95","1,232.95","1,251.00","1,254.30","1,250.62","1,442.05","1,092.15",454140,"567,957,234.25",28443
"03-Nov-2015","EQ","1,211.90","1,235.50","1,210.50","1,208.85","1,230.00","1,232.95","1,227.33","1,442.05","1,092.15",655515,"804,535,799.65",40372
"02-Nov-2015","EQ","1,200.05","1,236.50","1,200.05","1,183.60","1,204.40","1,208.85","1,216.38","1,442.05","1,092.15",1288427,"1,567,219,729.30",77563
"30-Oct-2015","EQ","1,222.50","1,226.85","1,173.30","1,227.80","1,180.00","1,183.60","1,197.30","1,442.05","1,092.15",966636,"1,157,352,307.80",58247
"29-Oct-2015","EQ","1,228.00","1,237.00","1,214.00","1,226.90","1,224.40","1,227.80","1,223.85","1,442.05","1,092.15",1193874,"1,461,124,186.90",49954
"28-Oct-2015","EQ","1,242.00","1,253.20","1,220.20","1,250.05","1,232.00","1,226.90","1,242.67","1,442.05","1,092.15",1941670,"2,412,850,200.20",45303
"27-Oct-2015","EQ","1,242.00","1,260.35","1,233.30","1,245.30","1,250.20","1,250.05","1,243.54","1,442.05","1,092.15",812411,"1,010,266,553.75",46298
"26-Oct-2015","EQ","1,250.00","1,259.90","1,236.65","1,246.65","1,246.30","1,245.30","1,246.77","1,442.05","1,092.15",582624,"726,399,052.05",29269
"23-Oct-2015","EQ","1,266.60","1,279.95","1,240.40","1,256.65","1,250.40","1,246.65","1,262.35","1,442.05","1,092.15",814591,"1,028,294,877.25",44478
"21-Oct-2015","EQ","1,247.95","1,263.80","1,232.00","1,250.65","1,263.45","1,256.65","1,246.92","1,442.05","1,092.15",751078,"936,537,367.10",24253
"20-Oct-2015","EQ","1,282.00","1,284.00","1,247.05","1,281.25","1,248.00","1,250.65","1,267.99","1,442.05","1,092.15",1508440,"1,912,684,994.40",29296
"19-Oct-2015","EQ","1,290.00","1,299.90","1,275.95","1,288.85","1,279.60","1,281.25","1,284.79","1,442.05","1,092.15",823121,"1,057,538,664.70",22648
