"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-Nov-2021","EQ","850.80","860.80","828.55","850.80","835.00","835.50","842.46","979.00","660.25",6067618,"5,111,726,606.80",130715
"29-Nov-2021","EQ","845.20","867.80","828.35","853.75","853.00","850.80","852.47","979.00","660.25",3936245,"3,355,530,716.25",100167
"26-Nov-2021","EQ","885.00","885.00","843.00","891.20","855.05","853.75","859.35","979.00","660.25",3934155,"3,380,831,726.65",108029
"25-Nov-2021","EQ","890.90","898.90","883.50","893.20","892.00","891.20","890.90","979.00","660.25",2288825,"2,039,112,666.50",53074
"24-Nov-2021","EQ","907.70","907.70","890.00","901.35","891.90","893.20","896.61","979.00","660.25",2708554,"2,428,520,454.00",79483
"23-Nov-2021","EQ","897.85","908.50","893.60","900.85","899.00","901.35","901.33","979.00","660.25",3195288,"2,880,011,427.80",102423
"22-Nov-2021","EQ","926.40","930.25","893.70","923.70","901.00","900.85","906.61","979.00","660.25",3731367,"3,382,899,816.45",107467
"18-Nov-2021","EQ","955.00","955.00","918.20","954.45","921.00","923.70","932.31","979.00","633.65",3463426,"3,228,981,486.25",101796
"17-Nov-2021","EQ","959.95","979.00","947.25","960.30","949.45","954.45","963.38","979.00","633.65",5416608,"5,218,233,311.90",147075
"16-Nov-2021","EQ","928.40","965.95","925.55","928.40","955.00","960.30","950.83","971.15","633.65",7368780,"7,006,424,277.20",168050
"15-Nov-2021","EQ","935.00","948.55","921.10","937.80","927.85","928.40","933.49","971.15","633.65",3757546,"3,507,647,557.65",79642
"12-Nov-2021","EQ","934.00","939.50","925.00","924.75","936.45","937.80","933.36","971.15","610.20",6239600,"5,823,785,692.60",114158
"11-Nov-2021","EQ","918.95","928.80","911.00","919.65","924.75","924.75","920.73","971.15","610.20",4935551,"4,544,297,996.75",94795
"10-Nov-2021","EQ","905.90","925.00","895.00","892.15","918.60","919.65","915.24","971.15","610.20",17083220,"15,635,264,086.70",309870
"09-Nov-2021","EQ","864.00","905.40","862.60","859.50","904.50","892.15","879.47","971.15","610.20",15376349,"13,523,105,509.50",234898
"08-Nov-2021","EQ","878.00","878.25","854.30","872.85","860.85","859.50","860.92","971.15","610.20",4481883,"3,858,521,299.45",101638
"04-Nov-2021","EQ","855.75","875.00","853.00","849.00","874.00","872.85","870.26","971.15","589.00",973315,"847,033,085.35",29123
"03-Nov-2021","EQ","864.00","869.90","843.00","861.50","852.25","849.00","857.26","971.15","589.00",3288759,"2,819,313,921.80",49910
"02-Nov-2021","EQ","875.00","879.30","859.00","870.35","863.00","861.50","867.26","971.15","589.00",3704926,"3,213,134,008.90",77732
"01-Nov-2021","EQ","884.25","887.90","860.40","884.25","871.55","870.35","872.85","971.15","589.00",4146270,"3,619,088,670.60",122748
"29-Oct-2021","EQ","883.50","901.50","862.00","883.85","885.00","884.25","886.66","971.15","586.80",2482056,"2,200,746,896.40",81836
"28-Oct-2021","EQ","887.00","896.00","877.90","886.80","881.00","883.85","888.17","971.15","586.80",2171227,"1,928,417,585.45",59664
"27-Oct-2021","EQ","900.00","903.80","883.50","894.55","885.10","886.80","891.01","971.15","586.80",3362019,"2,995,595,508.80",56234
"26-Oct-2021","EQ","893.40","900.00","884.00","890.70","896.00","894.55","892.50","971.15","586.80",3410657,"3,043,998,979.00",61810
"25-Oct-2021","EQ","883.00","905.90","883.00","887.85","890.30","890.70","895.39","971.15","586.80",2833933,"2,537,476,396.30",79213
"22-Oct-2021","EQ","904.00","909.80","885.10","897.00","890.00","887.85","896.32","971.15","586.80",1999394,"1,792,096,812.40",66351
"21-Oct-2021","EQ","908.30","911.10","893.40","899.35","896.80","897.00","898.64","971.15","586.80",2614538,"2,349,534,070.00",72013
"20-Oct-2021","EQ","913.00","924.90","894.65","917.50","902.00","899.35","904.67","971.15","586.80",3551282,"3,212,746,995.70",84866
"19-Oct-2021","EQ","911.00","927.60","901.20","910.95","917.10","917.50","915.40","971.15","586.80",3476818,"3,182,666,438.40",86479
"18-Oct-2021","EQ","958.00","958.00","908.30","931.40","910.80","910.95","925.21","971.15","586.80",2885649,"2,669,841,232.10",113024
"14-Oct-2021","EQ","938.50","946.25","922.20","935.35","932.00","931.40","931.41","971.15","586.80",3354982,"3,124,873,565.50",105744
"13-Oct-2021","EQ","893.00","971.15","893.00","890.10","936.20","935.35","938.69","971.15","586.80",17519612,"16,445,433,652.85",352415
"12-Oct-2021","EQ","888.00","894.65","877.00","895.60","889.55","890.10","887.13","952.05","586.80",3433345,"3,045,832,933.35",86173
"11-Oct-2021","EQ","879.00","902.50","879.00","877.80","893.90","895.60","895.32","952.05","586.80",5493159,"4,918,138,029.10",137967
"08-Oct-2021","EQ","893.70","895.00","872.55","878.25","877.00","877.80","882.37","952.05","586.80",3938358,"3,475,097,492.70",85306
"07-Oct-2021","EQ","839.70","887.80","837.15","834.10","875.25","878.25","872.71","952.05","586.80",9515673,"8,304,468,001.30",194662
"06-Oct-2021","EQ","846.00","854.90","829.00","843.05","835.15","834.10","841.75","952.05","586.80",3288323,"2,767,952,045.55",69366
"05-Oct-2021","EQ","841.15","846.00","835.05","841.15","840.05","843.05","841.52","952.05","586.80",2647442,"2,227,877,110.20",54927
"04-Oct-2021","EQ","832.50","852.00","828.10","827.85","840.40","841.15","842.84","952.05","586.80",6544700,"5,516,152,268.70",133679
"01-Oct-2021","EQ","800.00","831.00","787.00","803.05","827.00","827.85","818.27","952.05","586.80",7704216,"6,304,129,000.55",165825
"30-Sep-2021","EQ","808.05","817.40","801.30","812.10","802.15","803.05","809.30","952.05","586.80",3264689,"2,642,106,989.75",80499
"29-Sep-2021","EQ","800.00","815.70","799.00","806.05","809.20","812.10","808.65","952.05","586.80",2291977,"1,853,410,156.35",75191
"28-Sep-2021","EQ","820.00","822.00","796.25","811.35","805.00","806.05","809.22","952.05","586.80",3853344,"3,118,190,384.80",99528
"27-Sep-2021","EQ","789.50","813.75","783.05","779.45","813.00","811.35","800.63","952.05","586.80",9210666,"7,374,294,428.15",186933
"24-Sep-2021","EQ","759.50","782.05","752.55","758.45","781.00","779.45","772.19","952.05","567.50",4967824,"3,836,117,028.85",112530
"23-Sep-2021","EQ","756.50","762.00","752.75","752.50","758.10","758.45","757.61","952.05","567.50",1890322,"1,432,129,495.15",67730
"22-Sep-2021","EQ","738.90","759.00","738.45","738.45","752.90","752.50","749.24","952.05","567.50",2287017,"1,713,520,986.65",65420
"21-Sep-2021","EQ","740.10","740.90","729.55","738.05","738.90","738.45","734.95","952.05","567.50",2380834,"1,749,801,546.25",84934
"20-Sep-2021","EQ","749.40","756.50","732.20","754.15","740.30","738.05","744.42","952.05","567.50",2933375,"2,183,669,507.20",102497
"17-Sep-2021","EQ","758.20","766.00","749.15","756.95","757.45","754.15","756.94","952.05","567.50",5504398,"4,166,509,850.10",120141
"16-Sep-2021","EQ","759.85","761.00","751.35","755.10","756.80","756.95","755.26","952.05","567.50",2686018,"2,028,655,274.95",94538
