"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"03-Sep-2018","EQ","57.80","58.60","55.70","57.40","56.20","55.90","56.93","73.30","22.80",444735,"25,317,537.05",2933
"31-Aug-2018","EQ","59.00","59.40","56.90","59.05","57.15","57.40","58.08","73.30","22.80",611779,"35,531,856.50",3877
"30-Aug-2018","EQ","62.60","62.80","58.70","60.90","59.20","59.05","60.77","73.30","22.80",927625,"56,369,177.60",5163
"29-Aug-2018","EQ","60.00","61.15","58.00","58.25","61.15","60.90","60.54","73.30","22.80",3048560,"184,550,579.05",10670
"28-Aug-2018","EQ","56.10","58.25","55.35","55.50","58.25","58.25","57.43","73.30","22.80",895093,"51,403,054.00",3359
"27-Aug-2018","EQ","55.20","57.40","53.25","55.55","55.00","55.50","55.24","73.30","22.80",1065753,"58,875,667.90",6033
"24-Aug-2018","EQ","58.50","58.50","54.90","57.20","55.00","55.55","56.37","73.30","22.80",544872,"30,715,711.85",3430
"23-Aug-2018","EQ","58.70","59.95","56.55","57.10","57.30","57.20","57.88","73.30","22.80",946929,"54,806,616.40",4997
"21-Aug-2018","EQ","59.00","60.25","56.00","57.40","57.05","57.10","58.86","73.30","22.80",2223954,"130,902,186.55",10683
"20-Aug-2018","EQ","54.70","57.40","54.70","54.70","57.40","57.40","57.11","73.30","22.80",585571,"33,443,314.90",1904
"17-Aug-2018","EQ","53.85","59.45","53.85","56.65","54.90","54.70","56.94","73.30","22.80",4325129,"246,293,996.20",17138
"16-Aug-2018","EQ","56.65","56.65","56.65","59.60","56.65","56.65","56.65","73.30","22.80",82087,"4,650,228.55",473
"14-Aug-2018","EQ","59.60","59.60","59.60","62.70","59.60","59.60","59.60","73.30","22.80",117253,"6,988,278.80",660
"13-Aug-2018","EQ","62.70","62.70","62.70","66.00","62.70","62.70","62.70","73.30","22.80",262033,"16,429,469.10",1037
"10-Aug-2018","EQ","61.55","66.00","60.10","62.90","66.00","66.00","63.98","73.30","22.80",3789655,"242,451,177.15",12535
"09-Aug-2018","EQ","62.90","62.90","62.90","66.20","62.90","62.90","62.90","73.30","22.80",130477,"8,207,003.30",594
"08-Aug-2018","EQ","66.20","66.20","66.20","69.65","66.20","66.20","66.20","73.30","22.80",71603,"4,740,118.60",621
"07-Aug-2018","EQ","71.30","73.00","69.65","73.30","69.65","69.65","70.37","73.30","22.80",1031500,"72,591,392.70",3847
"06-Aug-2018","EQ","73.30","73.30","73.30","69.85","73.30","73.30","73.30","73.30","22.80",66210,"4,853,193.00",371
"03-Aug-2018","EQ","69.85","69.85","69.85","66.55","69.85","69.85","69.85","69.85","22.80",116347,"8,126,837.95",413
"02-Aug-2018","EQ","66.55","66.55","66.55","63.40","66.55","66.55","66.55","66.55","22.80",162902,"10,841,128.10",544
