"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-Nov-2021","EQ","1,349.00","1,414.00","1,285.15","1,352.75","1,285.15","1,295.40","1,322.16","1,429.00","900.10",1651907,"2,184,085,831.00",46276
"29-Nov-2021","EQ","1,346.00","1,364.80","1,303.95","1,372.55","1,345.00","1,352.75","1,330.44","1,429.00","900.10",424967,"565,393,362.00",26805
"26-Nov-2021","EQ","1,371.05","1,403.90","1,346.05","1,405.05","1,366.00","1,372.55","1,377.35","1,429.00","900.10",1609398,"2,216,697,209.10",45037
"25-Nov-2021","EQ","1,394.80","1,418.70","1,370.00","1,391.35","1,404.55","1,405.05","1,400.68","1,429.00","900.10",1430455,"2,003,607,843.40",31572
"24-Nov-2021","EQ","1,420.00","1,429.00","1,370.00","1,407.05","1,381.10","1,391.35","1,406.33","1,429.00","900.10",3007303,"4,229,255,554.70",54744
"23-Nov-2021","EQ","1,329.45","1,407.95","1,309.30","1,340.95","1,407.95","1,407.05","1,354.01","1,407.95","900.10",3017882,"4,086,238,206.10",41824
"22-Nov-2021","EQ","1,358.00","1,367.90","1,321.25","1,345.75","1,327.05","1,340.95","1,338.49","1,390.00","900.10",2725159,"3,647,610,423.35",51024
"18-Nov-2021","EQ","1,299.80","1,355.00","1,292.40","1,313.50","1,344.00","1,345.75","1,325.10","1,390.00","900.10",2032876,"2,693,763,968.70",38818
"17-Nov-2021","EQ","1,305.00","1,358.30","1,294.00","1,314.35","1,297.00","1,313.50","1,320.36","1,390.00","900.10",2180190,"2,878,632,013.55",47525
"16-Nov-2021","EQ","1,314.00","1,329.00","1,291.00","1,305.05","1,304.00","1,314.35","1,308.78","1,390.00","900.10",2043814,"2,674,910,765.65",36824
"15-Nov-2021","EQ","1,330.00","1,334.00","1,284.05","1,292.30","1,306.80","1,305.05","1,303.53","1,390.00","900.10",1955088,"2,548,520,937.05",53629
"12-Nov-2021","EQ","1,248.00","1,292.30","1,237.35","1,230.80","1,292.30","1,292.30","1,272.07","1,390.00","854.40",1685194,"2,143,691,021.35",53473
"11-Nov-2021","EQ","1,231.95","1,248.00","1,211.50","1,228.85","1,231.00","1,230.80","1,225.59","1,390.00","854.40",1536247,"1,882,812,235.10",30771
"10-Nov-2021","EQ","1,223.00","1,232.40","1,206.80","1,230.80","1,222.00","1,228.85","1,224.41","1,390.00","854.40",1819508,"2,227,815,682.85",26917
"09-Nov-2021","EQ","1,215.00","1,235.00","1,203.05","1,226.00","1,219.10","1,230.80","1,223.55","1,390.00","854.40",2220381,"2,716,753,461.05",28982
"08-Nov-2021","EQ","1,224.35","1,235.00","1,201.00","1,200.40","1,223.00","1,226.00","1,211.88","1,390.00","854.40",1615093,"1,957,296,469.35",31240
"04-Nov-2021","EQ","1,215.00","1,224.80","1,195.10","1,204.50","1,202.00","1,200.40","1,207.22","1,390.00","812.00",37041,"44,716,767.20",3396
"03-Nov-2021","EQ","1,175.00","1,220.00","1,162.40","1,174.25","1,215.15","1,204.50","1,181.38","1,390.00","812.00",1848796,"2,184,128,871.50",34714
"02-Nov-2021","EQ","1,178.00","1,184.45","1,135.80","1,172.35","1,183.95","1,174.25","1,159.08","1,390.00","812.00",1638199,"1,898,806,294.50",44080
"01-Nov-2021","EQ","1,155.00","1,178.05","1,141.00","1,152.85","1,169.00","1,172.35","1,167.80","1,390.00","812.00",1215021,"1,418,898,158.25",28023
"29-Oct-2021","EQ","1,155.00","1,189.15","1,106.00","1,147.15","1,155.00","1,152.85","1,139.05","1,390.00","701.10",364243,"414,890,840.25",21436
