"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2019","EQ","538.65","538.65","530.60","536.90","531.25","531.55","533.64","810.00","502.55",2502181,"1,335,251,812.85",31511
"30-Dec-2019","EQ","531.35","539.85","531.35","530.15","537.95","536.90","535.25","810.00","502.55",4697710,"2,514,463,947.30",50965
"27-Dec-2019","EQ","529.90","532.75","525.05","528.35","531.15","530.15","528.76","810.00","502.55",3017840,"1,595,718,393.80",33882
"26-Dec-2019","EQ","530.00","536.20","527.05","527.50","528.25","528.35","532.51","810.00","502.55",4623580,"2,462,096,014.20",54008
"24-Dec-2019","EQ","529.00","532.65","526.20","525.90","527.50","527.50","529.17","810.00","502.55",2372038,"1,255,216,937.60",31165
"23-Dec-2019","EQ","529.95","535.90","524.70","530.60","526.40","525.90","530.11","810.00","502.55",2963573,"1,571,018,853.20",42909
"20-Dec-2019","EQ","533.50","539.65","528.50","535.40","530.80","530.60","533.48","814.00","502.55",4746509,"2,532,145,420.25",76809
"19-Dec-2019","EQ","524.50","538.80","524.50","522.65","533.50","535.40","534.35","814.00","502.55",10732682,"5,734,995,980.35",125488
"18-Dec-2019","EQ","506.90","524.90","506.50","505.85","524.00","522.65","519.01","814.00","502.55",10092679,"5,238,237,160.95",149720
"17-Dec-2019","EQ","509.90","512.75","505.00","508.85","505.80","505.85","507.77","814.00","502.55",3521314,"1,788,023,300.85",53296
"16-Dec-2019","EQ","516.00","519.80","507.60","516.20","508.55","508.85","513.14","814.00","502.55",2346317,"1,203,998,541.55",41521
"13-Dec-2019","EQ","514.55","522.80","513.75","511.90","516.25","516.20","518.12","814.00","502.55",4066433,"2,106,904,629.05",59363
"12-Dec-2019","EQ","511.00","514.25","508.20","507.75","511.30","511.90","511.95","814.00","502.55",2994158,"1,532,866,473.45",46025
"11-Dec-2019","EQ","507.65","511.40","502.65","505.75","507.50","507.75","507.20","814.00","502.55",2148791,"1,089,865,313.95",57820
"10-Dec-2019","EQ","514.60","514.85","503.75","513.65","507.35","505.75","508.55","814.00","502.55",2462096,"1,252,099,407.55",53962
"09-Dec-2019","EQ","510.20","518.50","510.05","510.20","514.30","513.65","514.73","814.00","502.55",2566094,"1,320,849,900.25",47438
"06-Dec-2019","EQ","527.80","527.90","508.10","524.75","510.00","510.20","515.59","814.00","502.55",3409528,"1,757,902,204.35",65372
"05-Dec-2019","EQ","525.55","531.15","522.00","525.55","524.00","524.75","525.56","814.00","502.55",2332044,"1,225,629,097.90",50477
"04-Dec-2019","EQ","522.80","529.25","519.15","522.90","525.30","525.55","524.49","814.00","502.55",2612985,"1,370,484,487.05",99420
"03-Dec-2019","EQ","537.25","537.25","522.00","534.15","522.90","522.90","528.18","814.00","502.55",3052238,"1,612,137,362.60",55148
"02-Dec-2019","EQ","525.00","537.50","523.50","530.55","534.15","534.15","532.10","814.00","502.55",4087250,"2,174,821,408.20",58125
"29-Nov-2019","EQ","543.00","543.80","528.25","541.95","529.65","530.55","534.04","814.00","502.55",3328894,"1,777,746,404.75",81277
"28-Nov-2019","EQ","541.90","543.30","536.25","539.95","541.65","541.95","540.28","814.00","502.55",2426425,"1,310,955,599.75",63138
"27-Nov-2019","EQ","542.00","554.50","535.00","538.60","540.70","539.95","544.59","814.00","502.55",6630809,"3,611,052,663.85",89175
"26-Nov-2019","EQ","550.00","552.90","536.95","547.80","538.25","538.60","542.15","814.00","502.55",4408905,"2,390,275,706.00",60523
"25-Nov-2019","EQ","547.50","552.85","546.25","546.00","547.80","547.80","548.99","814.00","502.55",3054435,"1,676,859,970.95",39485
"22-Nov-2019","EQ","554.75","555.00","539.20","551.80","545.85","546.00","544.65","814.00","502.55",2798026,"1,523,945,570.05",58740
"21-Nov-2019","EQ","560.50","562.65","550.20","560.45","550.90","551.80","554.81","814.00","502.55",3346254,"1,856,532,141.90",48636
"20-Nov-2019","EQ","562.25","568.45","557.50","560.65","560.15","560.45","563.15","814.00","502.55",2876499,"1,619,888,191.95",68274
"19-Nov-2019","EQ","573.75","575.00","559.65","573.70","561.00","560.65","564.14","814.00","502.55",3208662,"1,810,128,272.25",72159
"18-Nov-2019","EQ","580.10","582.60","571.80","583.05","573.40","573.70","574.68","814.00","502.55",3212994,"1,846,430,162.25",67530
"15-Nov-2019","EQ","583.75","590.85","579.75","578.45","581.80","583.05","586.13","814.00","502.55",3063043,"1,795,356,520.95",55499
