"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES UNDERLYING DRS (C1)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","AS ON DATE","ACTION"
"Krishana Phoschem Limited","70.13","29.87",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161220_526697_09102021050329_WEB.xml"
"Dodla Dairy Limited","62.54","37.46",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161221_526724_09102021053047_WEB.xml"
"Ortel Communications Limited","55.43","44.37",,"0.19","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161222_526726_09102021053146_WEB.xml"
"Crown Lifters Limited","73.49","26.52",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161223_526738_09102021054155_WEB.xml"
"Abhishek Corporation Limited","57.63","42.37",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161224_526740_09102021054932_WEB.xml"
"Sree Rayalaseema Hi-Strength Hypo Limited","62.09","37.91",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161225_526742_09102021055114_WEB.xml"
"Gallantt Metal Limited","67.24","32.76",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161226_526748_09102021055403_WEB.xml"
"Gallantt Ispat Limited","63.09","36.91",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161227_526761_09102021060648_WEB.xml"
"BEW Engineering Limited","60.56","39.44",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161228_526780_09102021064434_WEB.xml"
"Jagran Prakashan Limited","69.4","30.6",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161230_526789_09102021070259_WEB.xml"
"Sirca Paints India Limited","67.55","32.45",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161231_526797_09102021072656_WEB.xml"
"Ujjivan Financial Services Limited","0","100",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161233_526832_09102021114049_WEB.xml"
"Orient Paper & Industries Limited","38.74","61.26",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161234_526861_10102021024858_WEB.xml"
"HDFC Asset Management Company Limited","68.85","31.15",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161235_526864_10102021034716_WEB.xml"
"Aarti Drugs Limited","60.12","39.88",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161237_526881_10102021113228_WEB.xml"
"Ankit Metal & Power Limited","71.02","28.98",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161238_526887_11102021080031_WEB.xml"
"Laxmi Organic Industries Limited","72.92","27.08",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161239_526892_11102021084118_WEB.xml"
"Revathi Equipment Limited","72.58","27.42",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161240_526907_11102021093420_WEB.xml"
"Indoco Remedies Limited","58.69","41.31",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161241_526915_11102021095639_WEB.xml"
"Kesoram Industries Limited","45.97","54.03",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161244_526951_11102021103416_WEB.xml"
"Nucleus Software Exports Limited","67.59","32.41",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161245_526953_11102021103550_WEB.xml"
"Wonderla Holidays Limited","69.76","30.24",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161246_526970_11102021104946_WEB.xml"
"Hindustan Construction Company Limited","34.71","65.29",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161247_526973_11102021105018_WEB.xml"
"VRL Logistics Limited","69.59","30.41",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161249_526986_11102021105903_WEB.xml"
"SBI Cards and Payment Services Limited","69.37","30.63",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161252_527009_11102021111024_WEB.xml"
"Linde India Limited","75","25",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161254_527025_11102021111850_WEB.xml"
"Kingfa Science & Technology (India) Limited","74.99","25.01",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161256_527055_11102021113117_WEB.xml"
"Siyaram Silk Mills Limited","67.19","32.81",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161257_527057_11102021113417_WEB.xml"
"Relaxo Footwears Limited","70.92","29.08",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161258_527078_11102021113919_WEB.xml"
"MIRC Electronics Limited","53.36","46.64",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161259_527094_11102021114358_WEB.xml"
"Euro Multivision Limited","47.01","52.99",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161260_527099_11102021114707_WEB.xml"
"Technocraft Industries (India) Limited","74.68","25.32",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161262_527115_11102021115205_WEB.xml"
"Ujaas Energy Limited","0.01","99.99",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161264_527132_11102021115447_WEB.xml"
"Sundaram Brake Linings Limited","65.54","34.46",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161265_527146_11102021115947_WEB.xml"
"Mahanagar Telephone Nigam Limited","56.89","43.11",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161266_527154_11102021120131_WEB.xml"
"Gillanders Arbuthnot & Company Limited","69.08","30.92",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161267_527160_11102021120255_WEB.xml"
"Craftsman Automation Limited","59.76","40.24",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161270_527177_11102021120831_WEB.xml"
"Camlin Fine Sciences Limited","21.61","78.39",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161273_527186_11102021121209_WEB.xml"
"Aaa Technologies Limited","71.51","28.49",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161277_527227_11102021123034_WEB.xml"
"Hester Biosciences Limited","53.73","46.27",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161279_527234_11102021123336_WEB.xml"
"EIH Limited","35.74","64.26",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161280_527235_11102021123338_WEB.xml"
"SPML Infra Limited","29.88","70.12",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161281_527264_11102021124425_WEB.xml"
"UFO Moviez India Limited","30.58","69.42",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161282_527269_11102021124611_WEB.xml"
"AVRO INDIA LIMITED","69.64","30.36",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161283_527273_11102021124724_WEB.xml"
"Silgo Retail Limited","64.63","35.37",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161284_527276_11102021125027_WEB.xml"
"Nagarjuna Fertilizers and Chemicals Limited","57.13","42.87",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161287_527330_11102021010845_WEB.xml"
"Beta Drugs Limited","66.68","33.31",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161289_527351_11102021011405_WEB.xml"
"Vinati Organics Limited","74.06","25.93",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161290_527359_11102021011721_WEB.xml"
"Kalyani Commercials Limited","53.14","46.86",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161294_527416_11102021014434_WEB.xml"
"Nitiraj Engineers Limited","69.07","30.93",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161296_527435_11102021014931_WEB.xml"
"Mayur Uniquoters Ltd","59.87","40.13",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161297_527451_11102021015441_WEB.xml"
"Cochin Shipyard Limited","72.86","27.14",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161298_527453_11102021015453_WEB.xml"
"Anupam Rasayan India Limited","65.4","34.6",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161300_527492_11102021021125_WEB.xml"
"TTK Prestige Limited","70.41","29.59",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161302_527511_11102021021738_WEB.xml"
"Astron Paper & Board Mill Limited","27.06","72.94",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161303_527514_11102021022041_WEB.xml"
"Kopran Limited","43.78","56.22",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161304_527516_11102021022059_WEB.xml"
"Johnson Controls - Hitachi Air Conditioning India Limited","74.25","25.76",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161306_527529_11102021022355_WEB.xml"
"Hindusthan National Glass & Industries Limited","70.73","29.27",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161307_527560_11102021023055_WEB.xml"
"Chemfab Alkalis Limited","73.7","26.3",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161308_527565_11102021023136_WEB.xml"
"Stylam Industries Limited","54.61","45.39",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161309_527567_11102021023151_WEB.xml"
"BEML Limited","54.03","45.97",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161310_527571_11102021023243_WEB.xml"
"Sun TV Network Limited","75","25",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161312_527578_11102021023520_WEB.xml"
"Mishra Dhatu Nigam Limited","74","26",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161314_527590_11102021023806_WEB.xml"
"KCP Sugar and Industries Corporation Limited","40.59","59.41",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161315_527603_11102021024055_WEB.xml"
"Art Nirman Limited","73.75","26.26",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161316_527605_11102021024257_WEB.xml"
"Dredging Corporation of India Limited","73.47","26.53",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161317_527628_11102021025104_WEB.xml"
"Emmbi Industries Limited","58.3","41.7",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161318_527639_11102021025404_WEB.xml"
"Inspirisys Solutions Limited","69.95","30.05",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161319_527652_11102021025550_WEB.xml"
"Raj Oil Mills Limited","75","25",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161320_527666_11102021025832_WEB.xml"
"Sharda Motor Industries Limited","73.2","26.8",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161321_527675_11102021025947_WEB.xml"
"Sandhar Technologies Limited","70.37","29.63",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161322_527680_11102021030121_WEB.xml"
"Touchwood Entertainment Limited","69.84","30.17",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161323_527687_11102021030223_WEB.xml"
"Arihant Capital Markets Limited","74.57","25.43",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161325_527751_11102021031652_WEB.xml"
"Blue Coast Hotels Limited","61.39","38.61",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161328_527778_11102021032600_WEB.xml"
"Divi's Laboratories Limited","51.95","48.05",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161329_527797_11102021033130_WEB.xml"
"W S Industries (I) Limited","37.69","62.31",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161330_527799_11102021033150_WEB.xml"
"Mold-Tek Packaging Limited","33.73","66.27",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161331_527803_11102021033242_WEB.xml"
"IFB Agro Industries Limited","65","35",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161332_527834_11102021034153_WEB.xml"
"Future Market Networks Limited","71.57","28.43",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161337_527917_11102021040407_WEB.xml"
"Zen Technologies Limited","60.19","39.81",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161338_527923_11102021040615_WEB.xml"
"GE T&D India Limited","75","25",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161339_527939_11102021041010_WEB.xml"
"Fourth Dimension Solutions Limited","98.22","1.78",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161340_527952_11102021041054_WEB.xml"
"Adani Transmission Limited","74.92","25.08",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161341_527956_11102021041142_WEB.xml"
"Techno Electric & Engineering Company Limited","60.18","39.82",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161342_527959_11102021041146_WEB.xml"
"WE WIN LIMITED","59.2","40.8",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161344_527993_11102021042206_WEB.xml"
"Timken India Limited","67.8","32.2",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161345_528010_11102021042407_WEB.xml"
"Cords Cable Industries Limited","51.64","48.36",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161346_528016_11102021042539_WEB.xml"
"Apollo Sindoori Hotels Limited","64.68","35.32",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161347_528024_11102021042633_WEB.xml"
"Karma Energy Limited","74.7","25.3",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161348_528027_11102021042645_WEB.xml"
"Narayana Hrudayalaya Ltd.","63.85","35.45",,"0.7","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161350_528041_11102021042943_WEB.xml"
"Orient Abrasives Limited","63.58","36.42",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161351_528046_11102021043053_WEB.xml"
"Murudeshwar Ceramics Limited","69.84","30.16",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161352_528060_11102021043236_WEB.xml"
