"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES UNDERLYING DRS (C1)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","AS ON DATE","ACTION"
"Deccan Cements Limited","56.24","43.76",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160779_521963_04102021031936_WEB.xml"
"UCO Bank","95.39","4.61",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160781_522065_04102021054642_WEB.xml"
"Deepak Fertilizers and Petrochemicals Corporation Limited","53.06","46.94",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160782_522171_04102021084814_WEB.xml"
"Jalan Transolutions (India) Limited","55.12","44.89",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160784_522246_05102021113202_WEB.xml"
"Godha Cabcon & Insulation Limited","72.95","27.05",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160788_522272_05102021121702_WEB.xml"
"Music Broadcast Limited","74.05","25.95",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160789_522277_05102021123206_WEB.xml"
"Electrosteel Castings Limited","55.29","44.71",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160790_522285_05102021124112_WEB.xml"
"Wonder Fibromats Limited","71.79","28.21",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160791_522292_05102021125109_WEB.xml"
"Rail Vikas Nigam Limited","78.2","21.8",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160792_522301_05102021010457_WEB.xml"
"Rohit Ferro-Tech Limited","72","28",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160794_522366_05102021024441_WEB.xml"
"Ajooni Biotech Limited","52.62","47.39",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160796_522384_05102021031215_WEB.xml"
"Bank of India","81.41","18.59",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160797_522392_05102021031618_WEB.xml"
"Vaibhav Global Limited","58.1","41.73",,"0.17","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160798_522440_05102021035450_WEB.xml"
"INCREDIBLE INDUSTRIES LIMITED","74.96","25.04",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160802_522536_05102021044858_WEB.xml"
"Himadri Speciality Chemical Limited","45.43","54.57",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160803_522539_05102021045145_WEB.xml"
"Likhitha Infrastructure Limited","74.11","25.89",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160805_522549_05102021045948_WEB.xml"
"Focus Lighting and Fixtures Limited","73.36","26.64",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160806_522556_05102021050545_WEB.xml"
"OnMobile Global Limited","48.35","51.65",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160808_522569_05102021051811_WEB.xml"
"Pritika Auto Industries Limited","47.86","52.14",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160809_522574_05102021052133_WEB.xml"
"M.R. Organisation Limited","98.8","1.2",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160810_522577_05102021052143_WEB.xml"
"NCL Industries Limited","43.75","56.25",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160812_522585_05102021053100_WEB.xml"
"Anjani Portland Cement Limited","75","25",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160813_522587_05102021053559_WEB.xml"
"Dynemic Products Limited","29.75","70.25",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160814_522593_05102021053816_WEB.xml"
"Coal India Limited","66.13","33.87",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160815_522633_05102021061751_WEB.xml"
"Madhav Copper Limited","66.32","33.69",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160816_522655_05102021062933_WEB.xml"
"Plastiblends India Limited","64.15","35.85",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160818_522687_05102021072908_WEB.xml"
"Cadila Healthcare Limited","74.88","25.12",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160823_522753_06102021104422_WEB.xml"
"Amber Enterprises India Limited","40.27","59.73",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160826_522780_06102021111506_WEB.xml"
"Bank of Baroda","63.97","36.03",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160827_522782_06102021111706_WEB.xml"
"National Steel And Agro Industries Limited","49.85","50.15",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160831_522816_06102021115522_WEB.xml"
"Phillips Carbon Black Limited","55.69","44.32",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160835_522843_06102021122711_WEB.xml"
"Hindustan Zinc Limited","64.92","35.08",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160837_522868_06102021125142_WEB.xml"
"Balaji Amines Limited","53.7","46.3",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160840_522885_06102021013647_WEB.xml"
"Nectar Lifesciences Limited","55.8","44.2",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160841_522894_06102021020042_WEB.xml"
"Vascon Engineers Limited","34.95","65.05",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160842_522932_06102021024132_WEB.xml"
"Krsnaa Diagnostics Limited","27.38","72.62",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160843_522947_06102021025603_WEB.xml"
"SEL Manufacturing Company Limited","75.27","24.73",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160844_522956_06102021030204_WEB.xml"
"Compuage Infocom Limited","58.33","41.67",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160845_522965_06102021030717_WEB.xml"
"Genus Paper & Boards Limited","50.5","49.5",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160848_522979_06102021032406_WEB.xml"
"Aarvi Encon Limited","73.47","26.52",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160849_522983_06102021032511_WEB.xml"
"Kilitch Drugs (India) Limited","68.33","31.67",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160851_523005_06102021033858_WEB.xml"
"Paras Defence and Space Technologies Limited","58.94","41.06",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160853_523009_06102021034000_WEB.xml"
"GTPL Hathway Limited","75","25",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160855_523036_06102021040411_WEB.xml"
"Apollo Hospitals Enterprise Limited","29.82","70.18",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160856_523040_06102021040710_WEB.xml"
"Oil Country Tubular Limited","49.22","50.78",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160857_523047_06102021040912_WEB.xml"
"Alembic Pharmaceuticals Limited","69.48","30.52",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160859_523068_06102021042343_WEB.xml"
"DIC India Limited","71.75","28.25",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160860_523076_06102021043016_WEB.xml"
"Agro Phos India Limited","54.27","45.73",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160861_523078_06102021043035_WEB.xml"
"CCL Products (India) Limited","46.19","53.81",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160862_523083_06102021043141_WEB.xml"
"Garden Reach Shipbuilders & Engineers Limited","74.5","25.5",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160863_523124_06102021044426_WEB.xml"
"Granules India Limited","42.04","57.96",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160864_523127_06102021044657_WEB.xml"
"DPSC Limited","59.49","40.51",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160865_523137_06102021050117_WEB.xml"
"Suven Life Sciences Limited","60","40",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160866_523141_06102021050228_WEB.xml"
"Mstc Limited","64.75","35.25",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160867_523154_06102021050630_WEB.xml"
"Shankara Building Products Limited","56.48","43.52",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160868_523176_06102021051257_WEB.xml"
"Home First Finance Company India Limited","33.65","66.34",,"0.02","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160870_523196_06102021052022_WEB.xml"
"Prince Pipes And Fittings Limited","63.25","36.75",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160872_523216_06102021052817_WEB.xml"
"Aaron Industries Limited","74.97","25.03",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160873_523241_06102021054111_WEB.xml"
"Lambodhara Textiles Limited","72.65","27.35",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160874_523269_06102021055858_WEB.xml"
"Tera Software Limited","47.53","52.47",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160875_523272_06102021055928_WEB.xml"
"Hindcon Chemicals Limited","68.08","31.92",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160876_523307_06102021062133_WEB.xml"
"Indbank Merchant Banking Services Limited","64.84","35.16",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160877_523333_06102021064643_WEB.xml"
"Alembic Limited","70.88","29.12",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160879_523350_06102021070047_WEB.xml"
"Hathway Cable & Datacom Limited","75","25",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160880_523352_06102021070357_WEB.xml"
"Emami Limited","53.86","46.14",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160882_523369_06102021073619_WEB.xml"
"Thirumalai Chemicals Limited","41.9","58.1",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160883_523386_06102021080957_WEB.xml"
"ACC Limited","54.53","45.47",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160884_523393_06102021081833_WEB.xml"
"State Bank of India","57.62","42.38",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160885_523410_06102021085435_WEB.xml"
"Onward Technologies Limited","57.33","42.67",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160887_523458_07102021100914_WEB.xml"
"Talbros Automotive Components Limited","58.2","41.8",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160890_523493_07102021103829_WEB.xml"
"CREDITACCESS GRAMEEN LIMITED","73.91","26.09",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160891_523521_07102021110500_WEB.xml"
"Stel Holdings Limited","58.21","41.79",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160892_523523_07102021110627_WEB.xml"
"Sonata Software Limited","28.17","70.64",,"1.19","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160894_523563_07102021113539_WEB.xml"
"SKM Egg Products Export (India) Limited","55.3","44.7",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160896_523574_07102021114236_WEB.xml"
"Kalyan Jewellers India Limited","60.54","39.46",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160897_523584_07102021114555_WEB.xml"
"Panama Petrochem Limited","72.13","27.87",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160900_523620_07102021120144_WEB.xml"
"Madhya Pradesh Today Media Limited","53.41","46.58",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160902_523632_07102021120351_WEB.xml"
"Khaitan Chemicals & Fertilizers Limited","74.99","25.01",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160903_523654_07102021120854_WEB.xml"
"Zenith Steel Pipes & Industries Limited","15.64","84.36",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160904_523659_07102021121154_WEB.xml"
"Bodal Chemicals Limited","58.94","41.06",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160906_523671_07102021121709_WEB.xml"
"Esab India Limited","73.72","26.28",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160907_523679_07102021122000_WEB.xml"
"Taj GVK Hotels & Resorts Limited","74.99","25.01",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160910_523695_07102021123000_WEB.xml"
"Canara Bank","62.93","37.07",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160911_523705_07102021123401_WEB.xml"
"Gretex Industries Limited","52.98","47.01",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160912_523733_07102021124234_WEB.xml"
"Siddhika Coatings Limited","63.09","36.91",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160914_523763_07102021125742_WEB.xml"
"Trigyn Technologies Limited","44.51","55.49",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160915_523782_07102021010630_WEB.xml"
"Gokul Refoils and Solvent Limited","72.09","27.91",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160916_523784_07102021010643_WEB.xml"
"Vipul Limited","63.43","36.57",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160917_523803_07102021011130_WEB.xml"
"Torrent Power Limited","53.57","46.43",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160918_523817_07102021011848_WEB.xml"
"Tide Water Oil Company (India) Limited","57.28","40.26",,"2.46","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160920_523831_07102021013243_WEB.xml"
"Goldiam International Limited","66.27","33.73",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160922_523853_07102021015126_WEB.xml"
"Coffee Day Enterprises Limited","14.88","85.12",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160923_523859_07102021015240_WEB.xml"
"Lux Industries Limited","74.39","25.61",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160924_523871_07102021020735_WEB.xml"
"Shyam Metalics and Energy Limited","88.35","11.65",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160925_523877_07102021022132_WEB.xml"
"Visesh Infotecnics Limited","22.48","77.52",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160926_523900_07102021023340_WEB.xml"
"The Orissa Minerals Development Company Limited","50.01","49.99",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160927_523916_07102021024448_WEB.xml"
"Greenpanel Industries Limited","53.1","46.9",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160930_523934_07102021025633_WEB.xml"
"Genus Power Infrastructures Limited","50.45","49.55",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160932_523939_07102021025905_WEB.xml"
"Global Education Limited","74.95","25.05",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160934_523956_07102021030422_WEB.xml"
"Orient Electric Limited","38.52","61.48",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160936_523974_07102021031323_WEB.xml"
"Krebs Biochemicals and Industries Limited","72.74","27.26",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160937_523984_07102021031917_WEB.xml"
"Kuantum Papers Limited","70.3","29.7",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160938_523989_07102021032131_WEB.xml"
"Max Healthcare Institute Limited","60.91","39.09",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160939_524012_07102021032755_WEB.xml"
"Hindustan Copper Limited","66.14","33.86",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160940_524018_07102021033135_WEB.xml"
"Fairchem Organics Limited","74.06","25.94",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160941_524029_07102021033323_WEB.xml"
"D-Link (India) Limited","51.02","48.98",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160944_524037_07102021034020_WEB.xml"
"BDR Buildcon Limited","65.39","34.61",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160945_524055_07102021034353_WEB.xml"
"Innovana Thinklabs Limited","73.17","26.82",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160947_524079_07102021035353_WEB.xml"
"Gujarat Lease Financing Limited","45.67","54.33",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160948_524081_07102021035450_WEB.xml"
"Tembo Global Industries Limited","72.77","27.23",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160949_524107_07102021040019_WEB.xml"
"Mahindra CIE Automotive Limited","72.19","27.81",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160950_524122_07102021040805_WEB.xml"
"Lincoln Pharmaceuticals Limited","40.28","59.72",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160951_524131_07102021041112_WEB.xml"
"Macpower CNC Machines Limited","72.91","27.09",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160952_524146_07102021041513_WEB.xml"
"De Nora India Limited","53.68","46.32",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160953_524157_07102021042157_WEB.xml"
"Max India Limited","40.89","59.11",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160955_524178_07102021043551_WEB.xml"
"Usha Martin Education & Solutions Limited","41.86","58.14",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160957_524192_07102021044101_WEB.xml"
"Heritage Foods Limited","39.49","60.51",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160959_524272_07102021050427_WEB.xml"
"BPL Limited","63.24","36.76",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160960_524276_07102021050510_WEB.xml"
"3i Infotech Limited","0","100",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160961_524291_07102021051046_WEB.xml"
"Jindal Poly Investment and Finance Company Limited","74.63","25.37",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160962_524297_07102021051241_WEB.xml"
"Union Bank of India","83.49","16.51",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160965_524317_07102021052010_WEB.xml"
"Mangalore Chemicals & Fertilizers Limited","60.21","39.79",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160968_524346_07102021052937_WEB.xml"
"Emkay Global Financial Services Limited","74.51","25.49",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160969_524356_07102021053250_WEB.xml"
"Softtech Engineers Limited","43.29","56.71",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160970_524369_07102021053714_WEB.xml"
"PSP Projects Limited","69.88","30.12",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160972_524384_07102021053939_WEB.xml"
"Quick Heal Technologies Limited","72.99","27.01",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160977_524416_07102021055010_WEB.xml"
"Zydus Wellness Limited","64.82","35.18",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160978_524422_07102021055127_WEB.xml"
"Ruchi Soya Industries Limited","98.9","1.1",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160979_524426_07102021055306_WEB.xml"
"Xchanging Solutions Limited","75","25",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160980_524428_07102021055314_WEB.xml"
"Rane Engine Valve Limited","54.84","45.16",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160983_524482_07102021061955_WEB.xml"
"Gujarat Fluorochemicals Limited","67.65","32.35",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160984_524489_07102021062107_WEB.xml"
"Sharda Cropchem Limited","74.82","25.18",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160985_524496_07102021062225_WEB.xml"
"Rane Brake Lining Limited","68.6","31.4",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160986_524499_07102021062746_WEB.xml"
"Neuland Laboratories Limited","36.22","63.78",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160987_524502_07102021063027_WEB.xml"
"Airo Lam limited","52.23","47.78",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160988_524508_07102021063239_WEB.xml"
"Rane Holdings Limited","46.4","53.6",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160989_524515_07102021063858_WEB.xml"
"Alpa Laboratories Limited","56.66","43.34",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160990_524520_07102021064621_WEB.xml"
"Rane (Madras) Limited","71.14","28.86",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160991_524532_07102021070107_WEB.xml"
"Weizmann Limited","69.01","30.99",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160993_524555_07102021072508_WEB.xml"
"Grindwell Norton Limited","58.08","41.92",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160994_524558_07102021073029_WEB.xml"
"Ksolves India Limited","62.4","37.6",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160995_524560_07102021073039_WEB.xml"
"TVS Motor Company Limited","52.26","47.74",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160996_524569_07102021074621_WEB.xml"
"Affle (India) Limited","59.89","40.11",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160997_524571_07102021074749_WEB.xml"
"Gujarat State Fertilizers & Chemicals Limited","37.84","62.16",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160998_524608_08102021091831_WEB.xml"
"TCI Express Limited","66.7","33.3",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_160999_524612_08102021094428_WEB.xml"
"BGR Energy Systems Limited","75","25",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161000_524617_08102021103506_WEB.xml"
"Acrysil Limited","44.04","55.96",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161001_524619_08102021103739_WEB.xml"
"Kalyani Steels Limited","64.71","35.29",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161002_524631_08102021113225_WEB.xml"
"Sumitomo Chemical India Limited","75","25",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161003_524641_08102021114538_WEB.xml"
"Chennai Petroleum Corporation Limited","67.29","32.71",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161004_524646_08102021114741_WEB.xml"
"Goa Carbon Limited","59.72","40.28",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161005_524652_08102021115111_WEB.xml"
"IDBI Bank Limited","94.71","5.29",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161006_524658_08102021115544_WEB.xml"
"Ratnamani Metals & Tubes Limited","60.16","39.84",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161007_524662_08102021115851_WEB.xml"
"NELCO Limited","50.09","49.91",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161008_524680_08102021120850_WEB.xml"
"Gujarat Ambuja Exports Limited","63.84","36.16",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161009_524694_08102021122130_WEB.xml"
"HB Stockholdings Limited","53.22","46.78",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161010_524719_08102021123005_WEB.xml"
"Bharat Heavy Electricals Limited","63.17","36.83",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161011_524734_08102021123709_WEB.xml"
"TRF Limited","34.12","65.88",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161012_524741_08102021124026_WEB.xml"
"PBA Infrastructure Limited","54.7","45.3",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161013_524781_08102021125023_WEB.xml"
"Brand Concepts Limited","59.68","40.32",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161014_524791_08102021125123_WEB.xml"
"KNR Constructions Limited","51.48","48.52",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161016_524828_08102021125720_WEB.xml"
"Ahimsa Industries Limited","69.28","30.72",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161017_524831_08102021125728_WEB.xml"
"Ginni Filaments Limited","69.72","30.27",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161018_524860_08102021010332_WEB.xml"
"Berger Paints (I) Limited","74.99","25.01",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161019_524875_08102021011016_WEB.xml"
"Manaksia Limited","74.93","25.07",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161020_524893_08102021011559_WEB.xml"
"IFGL Refractories Limited","72.43","27.57",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161021_524897_08102021011648_WEB.xml"
"Manaksia Steels Limited","74.75","25.25",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161022_524907_08102021011914_WEB.xml"
"Steel City Securities Limited","62.64","37.36",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161025_524942_08102021013015_WEB.xml"
"Aarey Drugs & Pharmaceuticals Limited","49.38","50.62",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161026_524948_08102021013329_WEB.xml"
"Kanpur Plastipack Limited","72.34","27.66",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161028_524952_08102021013620_WEB.xml"
"Intrasoft Technologies Limited","47.68","52.32",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161029_525011_08102021020239_WEB.xml"
"Max Financial Services Limited","14.72","85.28",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161033_525036_08102021021319_WEB.xml"
"Winsome Yarns Limited","38.67","61.33",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161034_525045_08102021021538_WEB.xml"
"Engineers India Limited","51.32","48.68",,"0","30-SEP-2021","https://archives.nseindia.com/corporate/xbrl/SHP_161035_525047_08102021021644_WEB.xml"
