"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2015","EQ","67.90","69.00","67.60","67.75","67.85","67.90","68.26","92.45","55.20",3580051,"244,388,753.35",12181
"30-Dec-2015","EQ","68.45","68.45","67.45","67.10","67.85","67.75","67.82","92.45","55.20",2193301,"148,750,843.70",13145
"29-Dec-2015","EQ","67.70","67.90","66.80","67.50","67.05","67.10","67.30","92.45","55.20",1868048,"125,713,893.85",9545
"28-Dec-2015","EQ","67.00","68.35","67.00","66.40","67.30","67.50","67.84","92.45","55.20",3739245,"253,671,675.35",12520
"24-Dec-2015","EQ","66.00","66.80","65.45","65.75","66.55","66.40","66.17","92.45","55.20",1359015,"89,921,082.70",7326
"23-Dec-2015","EQ","65.65","66.15","65.30","65.25","65.50","65.75","65.84","92.45","55.20",1163831,"76,629,539.20",3859
"22-Dec-2015","EQ","65.05","66.40","64.75","65.00","65.25","65.25","65.58","92.45","55.20",2654585,"174,085,265.75",15877
"21-Dec-2015","EQ","65.00","65.50","64.40","65.00","64.95","65.00","65.01","92.45","55.20",2932353,"190,619,460.55",26307
"18-Dec-2015","EQ","64.75","66.00","64.50","64.75","64.90","65.00","65.17","92.45","55.20",3813660,"248,523,912.95",17324
"17-Dec-2015","EQ","62.95","64.95","62.30","62.00","64.75","64.75","63.89","92.45","55.20",3638996,"232,479,128.90",14790
"16-Dec-2015","EQ","61.95","63.10","61.70","61.45","61.80","62.00","62.45","92.45","55.20",2509005,"156,675,497.40",12272
"15-Dec-2015","EQ","61.50","62.05","61.10","61.60","61.30","61.45","61.43","92.45","55.20",1989111,"122,193,457.95",9787
"14-Dec-2015","EQ","62.00","62.55","61.10","61.85","61.90","61.60","61.81","92.45","55.20",1926459,"119,069,440.25",8445
"11-Dec-2015","EQ","62.40","63.15","61.00","62.60","61.80","61.85","62.08","92.45","55.20",2013081,"124,976,991.05",9540
"10-Dec-2015","EQ","62.30","62.90","62.00","62.00","62.55","62.60","62.51","92.45","55.20",1552855,"97,062,734.20",8208
"09-Dec-2015","EQ","63.75","63.75","61.70","63.55","62.15","62.00","62.41","92.45","55.20",1717959,"107,215,692.60",7558
"08-Dec-2015","EQ","62.90","64.30","62.75","64.15","63.25","63.55","63.58","92.45","55.20",2207354,"140,353,132.60",7927
"07-Dec-2015","EQ","64.90","64.95","64.00","64.20","64.10","64.15","64.35","92.45","55.20",1516182,"97,564,519.50",8014
