"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2019","EQ","56.50","56.90","56.30","56.45","56.65","56.50","56.52","78.00","50.35",3504310,"198,071,942.05",7855
"30-Dec-2019","EQ","55.90","56.70","55.70","56.10","56.40","56.45","56.32","78.00","50.35",3198070,"180,124,766.20",7716
"27-Dec-2019","EQ","55.30","56.30","55.30","55.15","56.20","56.10","55.95","78.65","50.35",2983035,"166,886,453.35",7611
"26-Dec-2019","EQ","56.00","56.55","55.00","56.10","55.10","55.15","55.62","78.65","50.35",4026238,"223,938,905.50",9425
"24-Dec-2019","EQ","56.45","56.65","55.75","55.75","55.95","56.10","56.17","78.65","50.35",7649247,"429,681,725.95",21357
"23-Dec-2019","EQ","55.00","56.00","55.00","55.45","55.70","55.75","55.62","78.65","50.35",6340544,"352,641,236.25",14365
"20-Dec-2019","EQ","55.65","56.10","55.25","55.70","55.35","55.45","55.59","80.90","50.35",5836678,"324,489,310.90",17203
"19-Dec-2019","EQ","54.95","56.05","54.55","55.50","55.65","55.70","55.44","80.90","50.35",6911871,"383,162,670.00",16230
"18-Dec-2019","EQ","56.25","56.25","54.80","56.05","55.25","55.50","55.49","80.90","50.35",5634510,"312,645,063.25",16806
"17-Dec-2019","EQ","55.00","56.20","54.65","55.00","56.10","56.05","55.60","80.90","50.35",7255855,"403,447,249.00",20186
"16-Dec-2019","EQ","54.15","55.55","54.05","54.00","55.15","55.00","54.89","80.90","50.35",13368024,"733,732,478.00",20109
"13-Dec-2019","EQ","53.60","54.60","52.90","53.35","54.20","54.00","53.68","81.30","50.35",13996578,"751,346,361.35",25064
"12-Dec-2019","EQ","52.70","53.75","52.55","52.80","53.30","53.35","53.25","81.30","50.35",5730574,"305,137,085.30",28221
"11-Dec-2019","EQ","51.15","53.10","51.15","51.40","52.75","52.80","52.33","81.30","50.35",7113895,"372,289,253.90",29638
"10-Dec-2019","EQ","52.70","53.75","51.05","52.45","51.40","51.40","51.95","81.30","50.35",18892627,"981,530,998.30",37737
"09-Dec-2019","EQ","53.50","54.65","52.25","53.50","52.65","52.45","53.18","81.30","50.35",8338162,"443,415,672.40",28264
"06-Dec-2019","EQ","57.35","57.35","53.20","55.80","53.45","53.50","54.57","83.85","50.35",14587403,"796,084,403.75",40340
"05-Dec-2019","EQ","56.15","56.15","55.25","55.85","55.85","55.80","55.76","83.85","50.35",7119298,"396,993,986.80",30878
"04-Dec-2019","EQ","55.00","56.15","54.90","55.45","55.90","55.85","55.68","83.85","50.35",3605231,"200,747,097.55",9123
"03-Dec-2019","EQ","56.50","56.50","55.00","56.35","55.35","55.45","55.54","83.85","50.35",5536309,"307,485,771.70",10701
"02-Dec-2019","EQ","57.35","57.40","55.55","57.35","56.50","56.35","56.10","83.85","50.35",12052254,"676,170,171.70",29899
"29-Nov-2019","EQ","56.80","58.95","56.55","56.45","57.45","57.35","57.87","83.85","50.35",13401893,"775,544,265.25",30656
"28-Nov-2019","EQ","56.60","56.80","55.70","56.80","56.55","56.45","56.24","83.85","50.35",12572613,"707,047,926.80",22065
"27-Nov-2019","EQ","57.00","57.50","56.55","56.65","56.75","56.80","56.98","83.85","50.35",6969108,"397,066,580.50",14670
"26-Nov-2019","EQ","56.25","57.10","55.40","55.95","56.80","56.65","56.46","83.85","50.35",13251685,"748,176,131.55",22124
"25-Nov-2019","EQ","55.15","56.10","55.15","55.15","55.95","55.95","55.72","83.85","50.35",5254263,"292,788,840.90",12571
"22-Nov-2019","EQ","55.20","55.75","54.70","54.85","55.20","55.15","55.25","83.85","50.35",8206981,"453,427,545.30",18208
"21-Nov-2019","EQ","55.35","56.20","54.55","55.40","55.10","54.85","55.21","83.85","50.35",7025549,"387,901,480.05",19573
"20-Nov-2019","EQ","55.65","55.85","55.10","55.75","55.40","55.40","55.50","83.85","50.35",4758920,"264,143,692.25",15748
"19-Nov-2019","EQ","56.00","56.30","55.35","55.95","55.65","55.75","55.83","83.85","50.35",3922027,"218,957,032.10",9746
"18-Nov-2019","EQ","54.50","56.60","54.50","54.50","56.10","55.95","55.76","83.85","50.35",7099868,"395,901,247.90",18351
"15-Nov-2019","EQ","55.00","55.45","54.20","54.65","54.55","54.50","54.72","83.85","50.35",5676494,"310,640,900.55",18175
"14-Nov-2019","EQ","55.30","55.95","54.35","55.40","54.85","54.65","55.09","83.85","50.35",6076033,"334,702,070.75",15634
"13-Nov-2019","EQ","57.85","57.95","55.05","57.50","55.20","55.40","56.36","83.85","50.35",10060059,"566,993,456.80",29253
"11-Nov-2019","EQ","60.80","60.80","56.60","59.55","57.25","57.50","57.79","83.85","50.35",24360351,"1,407,727,677.50",66443
"08-Nov-2019","EQ","59.55","60.35","58.65","58.75","59.80","59.55","59.50","83.85","50.35",25224076,"1,500,771,874.65",38542
"07-Nov-2019","EQ","59.40","59.40","57.50","58.90","58.75","58.75","58.52","83.85","50.35",9181608,"537,317,649.70",20305
"06-Nov-2019","EQ","58.70","59.25","57.90","58.70","58.80","58.90","58.71","83.85","50.35",8233444,"483,359,238.55",25536
"05-Nov-2019","EQ","60.10","60.15","58.45","59.70","58.60","58.70","59.16","83.85","50.35",5308306,"314,035,483.75",23333
"04-Nov-2019","EQ","59.75","60.80","59.20","59.50","59.55","59.70","59.98","83.85","50.35",9648773,"578,761,501.70",36873
"01-Nov-2019","EQ","59.60","60.30","59.15","59.30","59.60","59.50","59.71","86.10","50.35",6997405,"417,810,038.80",26296
"31-Oct-2019","EQ","58.90","59.70","58.40","58.60","59.35","59.30","59.10","86.10","50.35",8154223,"481,946,486.15",31427
"30-Oct-2019","EQ","58.70","59.00","58.25","58.45","58.60","58.60","58.63","86.10","50.35",4477801,"262,521,201.05",19502
"29-Oct-2019","EQ","58.50","59.30","57.90","58.15","58.50","58.45","58.68","86.10","50.35",14361888,"842,776,635.20",41953
"27-Oct-2019","EQ","58.45","58.60","57.65","57.60","58.25","58.15","58.31","86.10","50.35",674171,"39,313,777.35",2783
"25-Oct-2019","EQ","59.65","59.65","57.25","59.15","57.55","57.60","58.12","86.10","50.35",4657499,"270,695,655.80",18010
"24-Oct-2019","EQ","61.50","61.50","58.50","61.10","59.15","59.15","59.52","86.10","50.35",5162218,"307,271,602.85",12745
