"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-Nov-2021","EQ","221.95","228.25","213.10","218.65","216.30","216.80","218.85","267.85","65.00",222571262,"48,709,413,245.40",487766
"29-Nov-2021","EQ","226.00","226.75","213.25","227.35","218.90","218.65","220.76","267.85","65.00",83187881,"18,364,626,731.70",498665
"26-Nov-2021","EQ","238.00","240.30","225.75","242.80","227.00","227.35","231.55","267.85","57.80",80108784,"18,549,162,326.85",501225
"25-Nov-2021","EQ","239.45","244.40","234.00","238.55","244.00","242.80","239.23","267.85","57.80",51777691,"12,386,959,757.80",267202
"24-Nov-2021","EQ","240.00","246.70","237.30","236.95","238.30","238.55","242.96","267.85","57.80",67847218,"16,484,491,646.45",375976
"23-Nov-2021","EQ","223.95","238.00","222.20","227.65","237.40","236.95","233.42","267.85","57.80",61158286,"14,275,292,452.40",343109
"22-Nov-2021","EQ","238.40","238.40","224.00","237.10","227.70","227.65","229.19","267.85","57.80",62459802,"14,314,942,977.50",472428
"18-Nov-2021","EQ","250.40","252.05","232.45","249.90","237.00","237.10","239.95","267.85","55.90",82052417,"19,688,472,506.55",476895
"17-Nov-2021","EQ","244.50","252.50","243.00","244.50","249.80","249.90","249.63","267.85","55.90",58883464,"14,699,362,966.65",340335
"16-Nov-2021","EQ","242.15","247.65","241.50","241.65","243.95","244.50","245.32","267.85","55.90",47776299,"11,720,494,915.95",279813
"15-Nov-2021","EQ","241.85","244.00","239.30","239.85","241.35","241.65","241.67","267.85","55.90",32578602,"7,873,265,284.25",187317
"12-Nov-2021","EQ","242.00","242.40","236.00","239.75","239.90","239.85","238.81","267.85","53.90",42038250,"10,039,312,000.25",232826
"11-Nov-2021","EQ","237.50","241.30","235.55","237.00","239.90","239.75","238.65","267.85","53.90",50433666,"12,035,791,914.65",285562
"10-Nov-2021","EQ","241.40","241.40","236.30","241.90","237.50","237.00","238.30","267.85","53.90",47845906,"11,401,558,017.05",281752
"09-Nov-2021","EQ","235.00","247.95","234.65","234.55","242.20","241.90","243.36","267.85","53.90",103894620,"25,283,572,469.00",551897
"08-Nov-2021","EQ","233.00","235.65","228.75","231.35","234.80","234.55","233.13","267.85","53.90",53880144,"12,561,267,443.50",316646
"04-Nov-2021","EQ","231.80","233.15","230.60","228.80","231.20","231.35","231.68","267.85","52.00",14860447,"3,442,921,170.55",211813
"03-Nov-2021","EQ","230.00","230.90","226.20","228.50","229.85","228.80","228.44","267.85","52.00",49974804,"11,416,268,991.95",276517
"02-Nov-2021","EQ","228.00","235.00","227.25","222.95","228.60","228.50","230.62","267.85","52.00",91597155,"21,123,963,543.50",487158
"01-Nov-2021","EQ","219.95","225.20","214.40","214.30","224.20","222.95","219.36","267.85","52.00",59687720,"13,092,953,585.95",352440
"29-Oct-2021","EQ","210.50","217.70","201.40","218.00","216.15","214.30","211.52","267.85","51.65",115032835,"24,332,217,724.65",615528
"28-Oct-2021","EQ","224.80","224.80","216.60","224.25","217.95","218.00","220.00","267.85","51.65",64733467,"14,241,431,958.60",410046
"27-Oct-2021","EQ","231.50","232.70","222.70","225.30","223.45","224.25","227.44","267.85","51.65",78577000,"17,871,938,681.95",414158
"26-Oct-2021","EQ","215.05","232.30","214.25","213.60","226.00","225.30","225.62","267.85","51.65",113036438,"25,503,311,429.05",619173
"25-Oct-2021","EQ","224.60","224.90","208.00","222.00","213.45","213.60","214.50","267.85","51.65",92057542,"19,746,737,838.55",534702
"22-Oct-2021","EQ","228.50","233.80","216.00","226.15","222.75","222.00","223.86","267.85","51.65",85764004,"19,199,287,410.00",576111
"21-Oct-2021","EQ","234.00","234.40","220.55","230.35","226.00","226.15","227.90","267.85","51.65",82393222,"18,777,110,527.50",503758
"20-Oct-2021","EQ","225.00","236.30","217.50","229.75","231.05","230.35","228.32","267.85","51.65",219286012,"50,067,863,908.05",1179375
